Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
30,A9,'Straß West',225.02,2,0,314047000,Rastplatz Straß West,POINT (576389.1964605602 317271.5331191026),225116.04098338
,S1A,'Schwechat',9.85,0,2,30811318,,POINT (631212.4502089146 473957.708685327),6204.25619510254
,S1B,'Deutsch Wagram',39.05,0,2,42216901,Raststation Deutsch-Wagram,POINT (635980.4823627592 495042.0942373707),2979.77722739942
244,S16,'Schnann',18.9,0,2,896823217,Raststation Schnann,POINT (175736.3196791559 365319.7414454991),18919.5402775678
246,S16,'Innerbraz',54.99,0,0,782866940,Raststation Innerbraz,POINT (141663.7117547484 365822.3405278649),54888.6514742696
248,S16,'Radin Nord',59.03,2,0,782870538,Parkplatz Radin,POINT (137801.0744044039 366256.0396979343),58937.6830358324
252,S31,'Forchtenstein’,52.45,2,0,913221916,,POINT (627948.3738034245 431165.8576790883),18821.6221808754
253,S31,'Kobersdorf',66.91,2,0,159983507,Parkplatz Kobersdorf (gesperrt),POINT (629644.6517780572 417698.5675687034),33190.2720838145
257,S33,'St. Pölten Ost',1.84,0,0,109352402,,POINT (573067.4196835606 480078.4089812149),25259.4986843641
259,S33,'Herzogenburg',15.69,1,0,405477797,Rastplatz Herzogenburg,POINT (576795.2939461012 493077.3537351532),11509.5921325825
260,S35,'Frohnleiten West',26.82,2,0,173760628,P27,POINT (550069.9603391113 374276.510225074),25978.7450905744
262,S36,'St. Marein Nord',14.89,0,0,49358081,Rastplatz St. Marein,POINT (517114.5362839187 373903.9986891008),14909.7723156369
265,S36,'Hauswald',35.77,2,0,951736532,Parkplatz Hauswald,POINT (499579.1062545049 364983.2665401984),35739.1629693343
,S37,'Hunnenbrunnen Nord',285.19,2,0,103104989,,POINT (480070.5452648401 320067.1442213526),2135.51180332674
,S37,'Zollfeld',293.91,2,0,450094399,,POINT (478570.5409621694 312179.0418976798),10776.6961037613
269,S5,'Zaina',6.3,2,0,142277259,,POINT (604984.3417026057 499916.418332191),6218.35325099361
270,S5,'Grafenwörth',32.85,0,2,925947138,Raststation Grafenwörth,POINT (580893.6274787366 504257.2332089241),32764.2224707922
271,S6,'Natschbach',3.22,0,2,96307607,Rastplatz Natschbach,POINT (607765.4656145051 426742.508754152),2710.82339299296
273,S6,'Gloggnitz Nord',18.44,2,0,661056057,Parkplatz Gloggnitz,POINT (594415.12474036 420836.0955214572),17845.4351772509
274,S6,'Schottwien',23.57,0,2,49360021,Rastplatz Schottwien,POINT (589677.1334808402 419730.4465447656),22953.1901775314
275,S6,'Schwöbing Nord',48.55,0,0,327068314,Raststation Schwöbing Nord,POINT (569868.191846711 409057.1432622332),47924.6087619431
277,S6,'St. Marein',68.99,0,0,94437560,Raststation St. Marein,POINT (553779.1904666434 398390.804130403),68338.7878946552
278,S6,'Kapfenberg Nord',72.03,2,0,544542523,Raststation Kapfenberg Nord,POINT (551521.0002345934 396862.9429952516),71382.687846574
