Unnamed: 0,highway,name,direction,centroid,has_charging_station,cs_below_50kwh,cs_above_50kwh,installed_infrastructure,,44kW,50kW,75kW,150kW,350kW
253,S31,'Kobersdorf',0,POINT (629644.6517780572 417698.5675687034),,,,0,0,,,,,
257,S33,'St. Pölten Ost',0,POINT (573067.4196835606 480078.4089812149),,,,0,0,,,,,
259,S33,'Herzogenburg',0,POINT (576795.2939461012 493077.3537351532),,,,0,0,,,,,
260,S35,'Frohnleiten West',0,POINT (550069.9603391113 374276.510225074),,,,0,0,,,,,
262,S36,'St. Marein Nord',0,POINT (517114.5362839187 373903.9986891008),,,,0,0,,,,,
265,S36,'Hauswald',0,POINT (499579.1062545049 364983.2665401984),,,,0,0,,,,,
,S37,'Hunnenbrunnen',0,POINT (480070.5452648401 320067.1442213526),,,,0,0,,,,,
,S37,'Zollfeld',0,POINT (478570.5409621694 312179.0418976798),,,,0,0,,,,,
269,S5,'Zaina',0,POINT (604984.3417026057 499916.418332191),,,,0,0,,,,,
270,S5,'Grafenwörth',2,POINT (580893.6274787366 504257.2332089241),,,,0,0,,,,,
271,S6,'Natschbach',2,POINT (607765.4656145051 426742.508754152),,,,0,0,,,,,
273,S6,'Gloggnitz Nord',0,POINT (594415.12474036 420836.0955214572),,,,0,0,,,,,
274,S6,'Schottwien',2,POINT (589677.1334808402 419730.4465447656),TRUE,4,0,4,2,,2,0,0,0
275,S6,'Schwöbing Nord',0,POINT (569868.191846711 409057.1432622332),,,,0,0,,,,,
277,S6,'St. Marein',0,POINT (553779.1904666434 398390.804130403),,,,0,0,,,,,
278,S6,'Kapfenberg Nord',0,POINT (551521.0002345934 396862.9429952516),,,,0,0,,,,,
