Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
4.0,A9,'Pyhrn-Priel West',55.04,1,0,510816662,Rastplatz Pyhrn-Priel West,POINT (475238.5922338971 418494.5326237982),55253.91776682321
6.0,A9,'Ardning West',66.04,2,0,376715081,Rastplatz Ardning West,POINT (474264.7869986332 409366.1576528699),66148.4007968077
8.0,A9,'Rottenmann/Süd',78.18,2,0,376715085,,POINT (479560.3242440162 402327.4291888591),78196.23516784806
9.0,A9,'Trieben',85.7,0,2,94441558,Raststation Trieben,POINT (486639.4742590693 399996.0857621173),85716.51059070176
11.0,A9,'Treglwang',94.03,2,0,665215184,Parkplatz Treglwang,POINT (494384.4414220566 397757.6211567058),94053.16658702976
12.0,A9,'Kalwang',106.26,1,0,665214827,Rastplatz Kalwang,POINT (504858.7646234921 392793.6916558671),106346.82419818387
14.0,A9,'Kammern Süd',121.26,0,2,94438967,Raststation Kammern,POINT (518331.4913245914 388591.1482733858),121269.75421704885
15.0,A9,'St. Michael',135.01,2,0,99092854,,POINT (528393.8191299433 381676.808692028),134998.64009941448
17.0,A9,'Ortnerhof Süd’,135.65,2,0,474140730,,POINT (528960.2473120602 381386.926619308),135624.7242459407
18.0,A9,'Hinterlainsach/Ost',139.16,2,0,664756705,,POINT (531484.5482811976 379123.8925040846),139165.3246006848
20.0,A9,'Kleintal',150.57,2,0,564086450,,POINT (540574.3351737915 373267.2506366365),150547.39816113902
22.0,A9,'Übelbach 2',154.24,2,0,664756053,Übelbach II,POINT (543552.0205580738 371167.7484766453),154215.55544922713
23.0,A9,'Deutschfeistritz',161.95,0,2,235790130,Raststation Deutschfeistritz,POINT (550268.1905258861 369200.0667830457),161859.23733452355
24.0,A9,'Eggenfeld',169.13,2,0,4575038,,POINT (551474.5660784504 362643.2864107855),169066.7990469878
26.0,A9,'Premstätten',192.48,1,0,178135178,Rastplatz Premstätten,POINT (559542.4347327679 343347.8517675975),192653.40411288827
28.0,A9,'Gralla West',211.06,0,0,192707339,Raststation Gralla West,POINT (568973.1545814445 328308.5763406043),211176.19070909682
30.0,A9,'Straß West',225.02,2,0,314047000,Rastplatz Straß West,POINT (576389.1964605602 317271.5331191026),225116.04098338005
,S1A,'Schwechat',9.85,0,2,30811318,,POINT (631212.4502089146 473957.708685327),6204.256195102536
,S1B,'Deutsch Wagram',39.05,0,2,42216901,Raststation Deutsch-Wagram,POINT (635980.4823627592 495042.0942373707),2979.7772273994156
244.0,S16,'Schnann',18.9,0,2,896823217,Raststation Schnann,POINT (175736.3196791559 365319.7414454991),18919.540277567827
246.0,S16,'Innerbraz',54.99,0,0,782866940,Raststation Innerbraz,POINT (141663.7117547484 365822.3405278649),54888.65147426961
248.0,S16,'Radin Nord',59.03,2,0,782870538,Parkplatz Radin,POINT (137801.0744044039 366256.0396979343),58937.683035832364
252.0,S31,'Forchtenstein’,52.45,2,0,913221916,,POINT (627948.3738034245 431165.8576790883),18821.622180875434
253.0,S31,'Kobersdorf',66.91,2,0,159983507,Parkplatz Kobersdorf (gesperrt),POINT (629644.6517780572 417698.5675687034),33190.27208381451
257.0,S33,'St. Pölten Ost',1.84,0,0,109352402,,POINT (573067.4196835606 480078.4089812149),25259.49868436409
259.0,S33,'Herzogenburg',15.69,1,0,405477797,Rastplatz Herzogenburg,POINT (576795.2939461012 493077.3537351532),11509.592132582457
260.0,S35,'Frohnleiten West',26.82,2,0,173760628,P27,POINT (550069.9603391113 374276.510225074),25978.74509057437
262.0,S36,'St. Marein Nord',14.89,0,0,49358081,Rastplatz St. Marein,POINT (517114.5362839187 373903.9986891008),14909.772315636868
265.0,S36,'Hauswald',35.77,2,0,951736532,Parkplatz Hauswald,POINT (499579.1062545049 364983.2665401984),35739.16296933435
,S37,'Hunnenbrunnen Nord',285.19,2,0,103104989,,POINT (480043.8254215059 320082.8899773553),2124.76300427167
,S37,'Zollfeld',293.91,2,0,450094399,,POINT (478570.5409621694 312179.0418976798),10776.696103761284
269.0,S5,'Zaina',6.3,2,0,142277259,,POINT (604984.3417026057 499916.418332191),6218.353250993613
270.0,S5,'Grafenwörth',32.85,0,2,925947138,Raststation Grafenwörth,POINT (580893.6274787366 504257.2332089241),32764.22247079224
271.0,S6,'Natschbach',3.22,0,2,96307607,Rastplatz Natschbach,POINT (607765.4656145051 426742.508754152),2710.823392992959
273.0,S6,'Gloggnitz Nord',18.44,2,0,661056057,Parkplatz Gloggnitz,POINT (594415.12474036 420836.0955214572),17845.43517725091
274.0,S6,'Schottwien',23.57,0,2,49360021,Rastplatz Schottwien,POINT (589677.1334808402 419730.4465447656),22953.190177531364
275.0,S6,'Schwöbing Nord',48.55,0,0,327068314,Raststation Schwöbing Nord,POINT (569868.191846711 409057.1432622332),47924.6087619431
277.0,S6,'St. Marein',68.99,0,0,94437560,Raststation St. Marein,POINT (553779.1904666434 398390.804130403),68338.78789465524
278.0,S6,'Kapfenberg Nord',72.03,2,0,544542523,Raststation Kapfenberg Nord,POINT (551521.0002345934 396862.9429952516),71382.687846574
