,Autobahn,Standort,Richtung,Art,Fluss,Energiebedarf,pXi_dir,pE_charged_0,pE_input_0,pE_output_0,Fluss_0,Energiebedarf_0,pE_charged_1,pE_input_1,pE_output_1,Fluss_1,Energiebedarf_1,total_number_charging_poles
'Schallaburg','A01',76.81,1.0,1.0,30759.4,85572.7,1.0,0.0,0.0,0.0,0.0,0.0,256.7181,0.0,0.0,30759.4,85572.7,1.0
'Ybbs','A01',100.32,1.0,0.0,28623.6,134588.2,1.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,3.76460000000003,28623.6,134588.2,1.0
'Amstetten','A01',119.36,1.0,1.0,27461.8,104574.6,1.0,0.0,0.0,0.0,0.0,0.0,153.87659206896558,3.76460000000003,163.6118079310345,27461.8,104574.6,1.0
'Oed','A01',130.52,1.0,2.0,28409.8,63410.8,1.0,0.0,0.0,0.0,0.0,0.0,353.8442079310345,163.6118079310345,0.0,28409.8,63410.8,1.0
'Haag','A01',143.54,1.0,0.0,28068.7,73090.8,1.0,0.0,0.0,0.0,0.0,0.0,219.2724,0.0,0.0,28068.7,73090.8,1.0
'Enns Süd','A01',156.19,1.0,1.0,31463.9,79603.7,1.0,0.0,0.0,0.0,0.0,0.0,238.8111,0.0,0.0,31463.9,79603.7,1.0
'Ansfelden Süd','A01',170.93,1.0,0.0,48152.0,141952.1,1.0,0.0,0.0,0.0,0.0,0.0,262.24449206896554,0.0,163.6118079310345,48152.0,141952.1,1.0
'Allhaming Süd','A01',182.59,1.0,1.0,23679.1,55219.7,1.0,0.0,0.0,0.0,0.0,0.0,329.27090793103446,163.6118079310345,0.0,23679.1,55219.7,1.0
'Lindach Süd','A01',212.27,1.0,0.0,24974.8,148250.5,1.0,0.0,0.0,0.0,0.0,0.0,281.13969206896553,0.0,163.6118079310345,24974.8,148250.5,1.0
'Hainbach Süd','A01',230.7,1.0,1.0,18126.8,66815.5,1.0,0.0,0.0,0.0,0.0,0.0,344.2755,163.6118079310345,19.782807931034483,18126.8,66815.5,1.0
'Straß','A01',243.67,1.0,1.0,18482.3,47943.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.782807931034483,163.6118079310345,18482.3,47943.0,0.0
'Mondsee','A01',259.23,2.0,0.0,17577.9,54702.4,1.0,0.0,0.0,0.0,0.0,0.0,327.7190079310345,163.6118079310345,0.0,17577.9,54702.4,1.0
'Vetterbach','A01',270.63,1.0,2.0,20198.5,46052.6,1.0,0.0,0.0,0.0,0.0,0.0,138.1578,0.0,0.0,20198.5,46052.6,1.0
'Salzburger Vorland','A01',277.55,1.0,2.0,24172.0,33454.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.362,24172.0,33454.0,0.0
'Söllheim','A01',286.46,1.0,0.0,31201.5,55601.0,1.0,0.0,0.0,0.0,0.0,0.0,267.16499999999996,100.362,0.0,31201.5,55601.0,1.0
'Walserberg Süd','A01',300.71,1.0,0.0,22448.8,63979.1,1.0,0.0,0.0,0.0,0.0,0.0,191.9373,0.0,0.0,22448.8,63979.1,1.0
'Guntramsdorf','A02',14.43,2.0,0.0,52286.1,150897.7,1.0,0.0,0.0,0.0,0.0,0.0,332.85329206896563,0.0,119.83980793103444,52286.1,150897.7,2.0
'Leobersdorf','A02',32.08,1.0,1.0,41904.8,147924.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,119.83980793103444,163.6118079310345,41904.8,147924.0,1.0
'Föhrenberg','A02',39.31,1.0,0.0,41904.8,60594.4,1.0,0.0,0.0,0.0,0.0,0.0,345.3950079310345,163.6118079310345,0.0,41904.8,60594.4,1.0
'Wr. Neustadt','A02',51.18,1.0,1.0,32210.7,76468.3,1.0,0.0,0.0,0.0,0.0,0.0,229.40490000000003,0.0,0.0,32210.7,76468.3,1.0
'Gleissenfeld','A02',61.52,1.0,2.0,22784.3,47117.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.3537,22784.3,47117.9,0.0
'Zöbern','A02',78.76,2.0,0.0,19899.9,68615.0,1.0,0.0,0.0,0.0,0.0,0.0,347.19870000000003,141.3537,0.0,19899.9,68615.0,2.0
'Schäffern Ost','A02',86.7,1.0,1.0,19899.9,31601.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8033,19899.9,31601.1,0.0
'Pinkafeld/Ost','A02',97.98,1.0,2.0,18238.9,41146.9,1.0,0.0,0.0,0.0,0.0,0.0,218.244,94.8033,0.0,18238.9,41146.9,1.0
'Loipersdorf','A02',105.5,2.0,0.0,16777.2,25232.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.69869999999986,16777.2,25232.9,0.0
